annee,ecole_id,academie,departement,niveau,statut,rep,rep_plus,education_prioritaire,effectif_eleves,taille_moyenne_classe,dedoublement,ips,score_francais,score_mathematiques,score_global,taux_maitrise_francais,taux_maitrise_mathematiques,variable_cible,source,source_url
2017,1,Grenoble,Puy-de-Dôme,CP,REP,1,0,1,16,18.73,0,44.69,52.48,50.99,51.74,53.47,52.61,51.74,simulation_reproductible,https://www.education.gouv.fr/depp/taille-des-classes-du-premier-degre-dans-le-secteur-public-la-baisse-s-observe-au-dela-des-classes-12263
2017,1,Grenoble,Puy-de-Dôme,CE1,REP,1,0,1,16,18.73,0,44.69,61.5,63.02,62.26,64.16,61.12,62.26,simulation_reproductible,https://www.education.gouv.fr/depp/taille-des-classes-du-premier-degre-dans-le-secteur-public-la-baisse-s-observe-au-dela-des-classes-12263
2017,1,Grenoble,Puy-de-Dôme,CM1,REP,1,0,1,16,18.73,0,44.69,77.42,77.29,77.35,68.75,72.03,77.35,simulation_reproductible,https://www.education.gouv.fr/depp/taille-des-classes-du-premier-degre-dans-le-secteur-public-la-baisse-s-observe-au-dela-des-classes-12263
2017,1,Grenoble,Puy-de-Dôme,CM2,REP,1,0,1,16,18.73,0,44.69,73.03,74.54,73.78,68.92,67.95,73.78,simulation_reproductible,https://www.education.gouv.fr/depp/taille-des-classes-du-premier-degre-dans-le-secteur-public-la-baisse-s-observe-au-dela-des-classes-12263
2017,1,Grenoble,Puy-de-Dôme,6e,REP,1,0,1,16,18.73,0,44.69,80.28,83.17,81.72,73.58,72.84,81.72,simulation_reproductible,https://www.education.gouv.fr/depp/taille-des-classes-du-premier-degre-dans-le-secteur-public-la-baisse-s-observe-au-dela-des-classes-12263
2017,2,Bordeaux,Moselle,CP,Hors EP,0,0,0,21,19.86,0,78.03,76.96,73.34,75.15,69.83,64.61,75.15,simulation_reproductible,https://www.education.gouv.fr/depp/taille-des-classes-du-premier-degre-dans-le-secteur-public-la-baisse-s-observe-au-dela-des-classes-12263
2017,2,Bordeaux,Moselle,CE1,Hors EP,0,0,0,21,19.86,0,78.03,77.1,79.61,78.36,71.51,68.78,78.36,simulation_reproductible,https://www.education.gouv.fr/depp/taille-des-classes-du-premier-degre-dans-le-secteur-public-la-baisse-s-observe-au-dela-des-classes-12263
2017,2,Bordeaux,Moselle,CM1,Hors EP,0,0,0,21,19.86,0,78.03,77.62,78.22,77.92,75.3,73.36,77.92,simulation_reproductible,https://www.education.gouv.fr/depp/taille-des-classes-du-premier-degre-dans-le-secteur-public-la-baisse-s-observe-au-dela-des-classes-12263
2017,2,Bordeaux,Moselle,CM2,Hors EP,0,0,0,21,19.86,0,78.03,83.33,82.26,82.8,76.8,74.81,82.8,simulation_reproductible,https://www.education.gouv.fr/depp/taille-des-classes-du-premier-degre-dans-le-secteur-public-la-baisse-s-observe-au-dela-des-classes-12263
2017,2,Bordeaux,Moselle,6e,Hors EP,0,0,0,21,19.86,0,78.03,96.25,95.14,95.69,88.09,82.97,95.69,simulation_reproductible,https://www.education.gouv.fr/depp/taille-des-classes-du-premier-degre-dans-le-secteur-public-la-baisse-s-observe-au-dela-des-classes-12263
2017,3,Nantes,Paris,CP,REP,1,0,1,26,13.06,1,65.41,64.13,61.02,62.57,68.87,56.03,62.57,simulation_reproductible,https://www.education.gouv.fr/depp/taille-des-classes-du-premier-degre-dans-le-secteur-public-la-baisse-s-observe-au-dela-des-classes-12263
2017,3,Nantes,Paris,CE1,REP,1,0,1,26,13.06,1,65.41,78.36,69.63,73.99,71.51,66.0,73.99,simulation_reproductible,https://www.education.gouv.fr/depp/taille-des-classes-du-premier-degre-dans-le-secteur-public-la-baisse-s-observe-au-dela-des-classes-12263
2017,3,Nantes,Paris,CM1,REP,1,0,1,26,13.06,1,65.41,75.64,76.48,76.06,74.12,68.61,76.06,simulation_reproductible,https://www.education.gouv.fr/depp/taille-des-classes-du-premier-degre-dans-le-secteur-public-la-baisse-s-observe-au-dela-des-classes-12263
2017,3,Nantes,Paris,CM2,REP,1,0,1,26,13.06,1,65.41,75.92,77.35,76.64,70.38,65.5,76.64,simulation_reproductible,https://www.education.gouv.fr/depp/taille-des-classes-du-premier-degre-dans-le-secteur-public-la-baisse-s-observe-au-dela-des-classes-12263
2017,3,Nantes,Paris,6e,REP,1,0,1,26,13.06,1,65.41,78.9,73.22,76.06,75.22,68.36,76.06,simulation_reproductible,https://www.education.gouv.fr/depp/taille-des-classes-du-premier-degre-dans-le-secteur-public-la-baisse-s-observe-au-dela-des-classes-12263
2017,4,Lille,Rhône,CP,REP,1,0,1,19,17.32,1,67.67,69.06,64.41,66.73,64.89,60.27,66.73,simulation_reproductible,https://www.education.gouv.fr/depp/taille-des-classes-du-premier-degre-dans-le-secteur-public-la-baisse-s-observe-au-dela-des-classes-12263
2017,4,Lille,Rhône,CE1,REP,1,0,1,19,17.32,1,67.67,68.62,68.57,68.59,64.16,64.68,68.59,simulation_reproductible,https://www.education.gouv.fr/depp/taille-des-classes-du-premier-degre-dans-le-secteur-public-la-baisse-s-observe-au-dela-des-classes-12263
2017,4,Lille,Rhône,CM1,REP,1,0,1,19,17.32,1,67.67,75.16,74.95,75.06,73.28,68.57,75.06,simulation_reproductible,https://www.education.gouv.fr/depp/taille-des-classes-du-premier-degre-dans-le-secteur-public-la-baisse-s-observe-au-dela-des-classes-12263
2017,4,Lille,Rhône,CM2,REP,1,0,1,19,17.32,1,67.67,76.1,73.78,74.94,64.52,62.38,74.94,simulation_reproductible,https://www.education.gouv.fr/depp/taille-des-classes-du-premier-degre-dans-le-secteur-public-la-baisse-s-observe-au-dela-des-classes-12263
