annee,ecole_id,academie,departement,rep_status,niveau,discipline,taille_classe,effectif_ecole,ips_ecole,exposition_dedoublement,score,taux_maitrise
2018,1,Nantes,Gironde,REP,CP,Français,12,20,11.29,1,62.49,58.14
2018,1,Nantes,Gironde,REP,CP,Mathématiques,16,20,11.29,1,65.28,55.12
2018,1,Nantes,Gironde,REP,CE1,Français,19,20,11.29,0,65.95,60.18
2018,1,Nantes,Gironde,REP,CE1,Mathématiques,20,20,11.29,0,60.66,51.95
2018,1,Nantes,Gironde,REP,CM1,Français,18,20,11.29,1,74.04,69.74
2018,1,Nantes,Gironde,REP,CM1,Mathématiques,17,20,11.29,1,74.52,62.27
2018,1,Nantes,Gironde,REP,CM2,Français,20,20,11.29,0,71.86,61.72
2018,1,Nantes,Gironde,REP,CM2,Mathématiques,16,20,11.29,1,82.75,73.1
2018,1,Nantes,Gironde,REP,6e,Français,18,20,11.29,1,90.29,87.11
2018,1,Nantes,Gironde,REP,6e,Mathématiques,16,20,11.29,1,83.05,67.4
2018,2,Paris,Hérault,Hors EP,CP,Français,25,25,-10.08,0,67.42,64.56
2018,2,Paris,Hérault,Hors EP,CP,Mathématiques,28,25,-10.08,0,55.8,54.1
2018,2,Paris,Hérault,Hors EP,CE1,Français,27,25,-10.08,0,67.67,65.38
2018,2,Paris,Hérault,Hors EP,CE1,Mathématiques,28,25,-10.08,0,65.85,60.11
2018,2,Paris,Hérault,Hors EP,CM1,Français,28,25,-10.08,0,74.63,58.46
2018,2,Paris,Hérault,Hors EP,CM1,Mathématiques,26,25,-10.08,0,68.47,58.37
2018,2,Paris,Hérault,Hors EP,CM2,Français,26,25,-10.08,0,85.32,68.69
2018,2,Paris,Hérault,Hors EP,CM2,Mathématiques,29,25,-10.08,0,65.32,57.74
2018,2,Paris,Hérault,Hors EP,6e,Français,27,25,-10.08,0,85.33,76.58
2018,2,Paris,Hérault,Hors EP,6e,Mathématiques,29,25,-10.08,0,76.32,64.59
2018,3,Lyon,Loire,Hors EP,CP,Français,21,27,-13.6,0,69.91,63.25
2018,3,Lyon,Loire,Hors EP,CP,Mathématiques,25,27,-13.6,0,59.15,56.01
2018,3,Lyon,Loire,Hors EP,CE1,Français,25,27,-13.6,0,66.68,62.62
2018,3,Lyon,Loire,Hors EP,CE1,Mathématiques,21,27,-13.6,0,67.03,58.67
2018,3,Lyon,Loire,Hors EP,CM1,Français,20,27,-13.6,0,80.76,67.57
2018,3,Lyon,Loire,Hors EP,CM1,Mathématiques,23,27,-13.6,0,75.03,68.25
2018,3,Lyon,Loire,Hors EP,CM2,Français,25,27,-13.6,0,78.62,66.35
2018,3,Lyon,Loire,Hors EP,CM2,Mathématiques,23,27,-13.6,0,70.28,55.55
2018,3,Lyon,Loire,Hors EP,6e,Français,20,27,-13.6,0,84.08,74.17
2018,3,Lyon,Loire,Hors EP,6e,Mathématiques,21,27,-13.6,0,82.97,77.91
2018,4,Lille,Maine-et-Loire,REP,CP,Français,20,23,-2.47,0,54.38,56.18
2018,4,Lille,Maine-et-Loire,REP,CP,Mathématiques,18,23,-2.47,1,65.66,60.84
2018,4,Lille,Maine-et-Loire,REP,CE1,Français,21,23,-2.47,0,52.5,51.06
2018,4,Lille,Maine-et-Loire,REP,CE1,Mathématiques,21,23,-2.47,0,57.05,53.9
2018,4,Lille,Maine-et-Loire,REP,CM1,Français,26,23,-2.47,0,59.43,50.29
2018,4,Lille,Maine-et-Loire,REP,CM1,Mathématiques,22,23,-2.47,0,62.09,64.02
2018,4,Lille,Maine-et-Loire,REP,CM2,Français,24,23,-2.47,0,68.91,69.18
2018,4,Lille,Maine-et-Loire,REP,CM2,Mathématiques,19,23,-2.47,0,65.93,55.2
2018,4,Lille,Maine-et-Loire,REP,6e,Français,21,23,-2.47,0,68.81,64.97
2018,4,Lille,Maine-et-Loire,REP,6e,Mathématiques,21,23,-2.47,0,65.39,54.38
2018,5,Bordeaux,Moselle,REP,CP,Français,24,24,34.97,0,52.34,39.93
2018,5,Bordeaux,Moselle,REP,CP,Mathématiques,24,24,34.97,0,50.14,47.02
2018,5,Bordeaux,Moselle,REP,CE1,Français,21,24,34.97,0,62.86,63.08
2018,5,Bordeaux,Moselle,REP,CE1,Mathématiques,23,24,34.97,0,57.98,49.25
2018,5,Bordeaux,Moselle,REP,CM1,Français,19,24,34.97,0,69.11,61.72
2018,5,Bordeaux,Moselle,REP,CM1,Mathématiques,27,24,34.97,0,61.68,61.86
2018,5,Bordeaux,Moselle,REP,CM2,Français,22,24,34.97,0,68.26,56.59
2018,5,Bordeaux,Moselle,REP,CM2,Mathématiques,21,24,34.97,0,81.07,66.02
2018,5,Bordeaux,Moselle,REP,6e,Français,25,24,34.97,0,71.83,68.5
2018,5,Bordeaux,Moselle,REP,6e,Mathématiques,24,24,34.97,0,73.09,64.5
2018,6,Nantes,Nord,REP+,CP,Français,15,16,-14.71,1,58.01,62.34
2018,6,Nantes,Nord,REP+,CP,Mathématiques,18,16,-14.71,1,53.7,52.95
