annee,statut,variable_cible
2017,Hors EP,78.59407142857144
2017,REP,71.98014634146341
2017,REP+,69.77856
2018,Hors EP,80.66024096385541
2018,REP,73.09353488372093
2018,REP+,69.8485
2019,Hors EP,81.39707865168539
2019,REP,74.64125
2019,REP+,69.3044761904762
2020,Hors EP,81.39210666666666
2020,REP,75.11060869565218
2020,REP+,71.04613793103448
2021,Hors EP,82.50292857142858
2021,REP,75.32872727272728
2021,REP+,72.51618181818182
2022,Hors EP,83.12454545454545
2022,REP,78.00753846153846
2022,REP+,73.38382608695652
2023,Hors EP,84.15456470588236
2023,REP,78.44374358974359
2023,REP+,74.15823076923077
