annee,rep_status,score_moyen,taille_classe_moyenne
2018,Hors EP,74.53683838383839,23.996969696969696
2019,Hors EP,75.66052727272728,23.92909090909091
2020,Hors EP,76.65422857142858,24.49809523809524
2021,Hors EP,77.4831836734694,24.805102040816326
2022,Hors EP,79.48208737864078,24.007766990291262
2023,Hors EP,80.91613084112149,23.50841121495327
2024,Hors EP,81.40208333333334,23.783333333333335
2018,REP,67.62103448275862,19.713793103448275
2019,REP,67.3303725490196,20.637254901960784
2020,REP,68.17214814814815,20.81851851851852
2021,REP,70.48583870967742,19.98548387096774
2022,REP,71.04578181818182,20.2
2023,REP,73.56588461538462,19.540384615384614
2024,REP,75.42327586206896,19.0
2018,REP+,62.1744347826087,17.995652173913044
2019,REP+,63.5178947368421,16.794736842105262
2020,REP+,66.5952380952381,16.876190476190477
2021,REP+,66.1739,17.585
2022,REP+,67.56022727272727,17.136363636363637
2023,REP+,68.43171428571428,17.642857142857142
2024,REP+,69.34992307692308,17.823076923076922
