rep_status,niveau,score_moyen,taille_classe_moyenne,taux_maitrise_moyen
Hors EP,6e,87.96566155988859,24.090529247910865,74.80174094707522
Hors EP,CE1,72.28346100278551,23.990947075208915,64.25118384401114
Hors EP,CM1,78.39155988857938,24.02924791086351,68.35043871866294
Hors EP,CM2,83.0141782729805,24.161559888579387,71.54548746518107
Hors EP,CP,68.3390947075209,24.079387186629525,61.35192200557103
REP,6e,80.35639743589743,20.03205128205128,69.45333333333333
REP,CE1,64.88435897435897,19.97820512820513,59.18478205128205
REP,CM1,70.70378205128205,19.826923076923077,62.89912820512821
REP,CM2,75.91157692307692,20.00769230769231,66.41010256410256
REP,CP,60.89748717948718,20.005128205128205,56.4700641025641
REP+,6e,76.61625,17.50986842105263,67.24625
REP+,CE1,60.1546052631579,17.44407894736842,55.27164473684211
REP+,CM1,66.71792763157895,17.345394736842106,60.49986842105263
REP+,CM2,71.44911184210525,17.355263157894736,63.12861842105263
REP+,CP,56.8160197368421,17.51644736842105,53.472598684210524
